Escenario,Algoritmo,Alcanzo el resultado,Estados Explorados,Tiempo de Ejecución,Alcanzo el limite,Costo del Camino
10,busqueda en profundidad limitada,N/A,86,0.005997180938720703,False,
11,busqueda en profundidad limitada,N/A,65,0.004997730255126953,False,
12,busqueda en profundidad limitada,N/A,81,0.00499725341796875,False,
13,busqueda en profundidad limitada,N/A,54,0.006012916564941406,False,
14,busqueda en profundidad limitada,N/A,87,0.005996227264404297,False,
15,busqueda en profundidad limitada,N/A,86,0.005995988845825195,False,
16,busqueda en profundidad limitada,N/A,81,0.00597071647644043,False,
17,busqueda en profundidad limitada,N/A,89,0.004996299743652344,False,
18,busqueda en profundidad limitada,N/A,107,0.004998207092285156,False,
19,busqueda en profundidad limitada,N/A,95,0.004996299743652344,False,
20,busqueda en profundidad limitada,N/A,86,0.005997180938720703,False,
21,busqueda en profundidad limitada,N/A,65,0.007994651794433594,False,
22,busqueda en profundidad limitada,N/A,56,0.005995750427246094,False,
23,busqueda en profundidad limitada,N/A,115,0.012993335723876953,False,
24,busqueda en profundidad limitada,N/A,116,0.005995750427246094,False,
25,busqueda en profundidad limitada,N/A,97,0.005995988845825195,False,
26,busqueda en profundidad limitada,N/A,76,0.005988597869873047,False,
27,busqueda en profundidad limitada,N/A,55,0.0049970149993896484,False,
28,busqueda en profundidad limitada,N/A,108,0.004996776580810547,False,
29,busqueda en profundidad limitada,N/A,82,0.005995988845825195,False,
30,busqueda en profundidad limitada,N/A,94,0.005996227264404297,False,
1,busqueda costo Uniforme E1,True,66,0.0059964656829833984,False,66
2,busqueda costo Uniforme E1,True,2669,0.0319819450378418,False,210
3,busqueda costo Uniforme E1,True,419,0.009994029998779297,False,75
4,busqueda costo Uniforme E1,True,2955,0.032981157302856445,False,236
5,busqueda costo Uniforme E1,True,3890,0.04197573661804199,False,175
6,busqueda costo Uniforme E1,True,6943,0.06696176528930664,False,138
7,busqueda costo Uniforme E1,True,7741,0.0799551010131836,False,241
8,busqueda costo Uniforme E1,True,6125,0.06405758857727051,False,256
9,busqueda costo Uniforme E1,True,5465,0.05618405342102051,False,233
10,busqueda costo Uniforme E1,True,1532,0.017981290817260742,False,90
11,busqueda costo Uniforme E1,True,7992,0.08694982528686523,False,296
12,busqueda costo Uniforme E1,True,5940,0.06199145317077637,False,269
13,busqueda costo Uniforme E1,True,5017,0.05495762825012207,False,179
14,busqueda costo Uniforme E1,True,6241,0.06601738929748535,False,170
15,busqueda costo Uniforme E1,True,2150,0.026162147521972656,False,176
16,busqueda costo Uniforme E1,True,8549,0.08793473243713379,False,205
17,busqueda costo Uniforme E1,True,4316,0.04497385025024414,False,201
18,busqueda costo Uniforme E1,True,4771,0.051971435546875,False,240
19,busqueda costo Uniforme E1,True,1666,0.03498077392578125,False,80
20,busqueda costo Uniforme E1,True,6941,0.07229495048522949,False,143
21,busqueda costo Uniforme E1,True,1034,0.014976263046264648,False,129
22,busqueda costo Uniforme E1,True,1933,0.024969816207885742,False,270
23,busqueda costo Uniforme E1,True,2106,0.0259859561920166,False,91
24,busqueda costo Uniforme E1,True,127,0.006997108459472656,False,53
25,busqueda costo Uniforme E1,True,4699,0.05198073387145996,False,222
26,busqueda costo Uniforme E1,True,6260,0.06296610832214355,False,151
27,busqueda costo Uniforme E1,True,4574,0.050975799560546875,False,292
28,busqueda costo Uniforme E1,True,4833,0.05195879936218262,False,192
29,busqueda costo Uniforme E1,True,7468,0.07689499855041504,False,253
30,busqueda costo Uniforme E1,True,2043,0.024019956588745117,False,95
1,busqueda costo Uniforme E2,True,2729,0.03297019004821777,False,77
2,busqueda costo Uniforme E2,True,8935,0.09406065940856934,False,202
3,busqueda costo Uniforme E2,True,2671,0.031246423721313477,False,182
4,busqueda costo Uniforme E2,True,1220,0.0179898738861084,False,50
5,busqueda costo Uniforme E2,True,1051,0.014990806579589844,False,46
6,busqueda costo Uniforme E2,True,6524,0.06998562812805176,False,366
7,busqueda costo Uniforme E2,True,1703,0.023967981338500977,False,58
8,busqueda costo Uniforme E2,True,4303,0.0480043888092041,False,99
9,busqueda costo Uniforme E2,True,8194,0.08524298667907715,False,240
10,busqueda costo Uniforme E2,True,1259,0.01699042320251465,False,91
