N_Reinas,Algoritmo,Solucion,Explorados,Tiempo
8,Simulated Annealing,False,64,0.0019991397857666016
8,Simulated Annealing,False,64,0.0039980411529541016
8,Simulated Annealing,False,64,0.00299835205078125
8,Simulated Annealing,False,64,0.001999378204345703
8,Simulated Annealing,False,64,0.0039980411529541016
8,Simulated Annealing,False,64,0.002997159957885742
8,Simulated Annealing,False,64,0.001999378204345703
8,Simulated Annealing,False,64,0.002997875213623047
8,Simulated Annealing,False,64,0.002997159957885742
8,Simulated Annealing,False,64,0.0019986629486083984
8,Simulated Annealing,False,64,0.0019979476928710938
10,Simulated Annealing,False,100,0.005996227264404297
10,Simulated Annealing,False,100,0.006996870040893555
10,Simulated Annealing,False,100,0.004996061325073242
10,Simulated Annealing,False,100,0.005997419357299805
10,Simulated Annealing,False,100,0.0049970149993896484
10,Simulated Annealing,False,100,0.005995512008666992
10,Simulated Annealing,False,100,0.0049974918365478516
10,Simulated Annealing,False,100,0.0059969425201416016
10,Simulated Annealing,False,100,0.00699615478515625
10,Simulated Annealing,False,100,0.0059969425201416016
10,Simulated Annealing,False,100,0.008996248245239258
10,Simulated Annealing,False,100,0.039977312088012695
10,Simulated Annealing,False,100,0.0179903507232666
10,Simulated Annealing,False,100,0.005997657775878906
10,Simulated Annealing,False,100,0.005995988845825195
10,Simulated Annealing,False,100,0.007994651794433594
10,Simulated Annealing,False,100,0.005996227264404297
10,Simulated Annealing,False,100,0.005995512008666992
10,Simulated Annealing,False,100,0.007996559143066406
10,Simulated Annealing,False,100,0.005995035171508789
10,Simulated Annealing,False,100,0.005996227264404297
10,Simulated Annealing,False,100,0.005995273590087891
10,Simulated Annealing,False,100,0.0059967041015625
10,Simulated Annealing,False,100,0.005995988845825195
10,Simulated Annealing,False,100,0.0059967041015625
10,Simulated Annealing,False,100,0.005997419357299805
10,Simulated Annealing,False,100,0.0069959163665771484
10,Simulated Annealing,False,100,0.0059967041015625
10,Simulated Annealing,False,100,0.0069959163665771484
10,Simulated Annealing,False,100,0.007996320724487305
