N_Reinas,Algoritmo,Optima,truncado?,Explorados,Tiempo,reinas_atacandose
8,Simulated Annealing,False,False,64,0.0029990673065185547,8
8,Simulated Annealing,False,False,64,0.0019986629486083984,7
8,Simulated Annealing,False,False,64,0.0019991397857666016,7
8,Simulated Annealing,False,False,64,0.0019979476928710938,7
8,Simulated Annealing,False,False,64,0.0019981861114501953,7
8,Simulated Annealing,False,False,64,0.0029981136322021484,7
8,Simulated Annealing,False,False,64,0.0029985904693603516,6
8,Simulated Annealing,False,False,64,0.001998424530029297,5
8,Simulated Annealing,False,False,64,0.002998828887939453,8
8,Simulated Annealing,False,False,64,0.0029973983764648438,8
8,Simulated Annealing,False,False,64,0.0029990673065185547,6
8,Simulated Annealing,False,False,64,0.0020003318786621094,5
8,Simulated Annealing,False,False,64,0.0019981861114501953,7
8,Simulated Annealing,False,False,64,0.003997325897216797,8
8,Simulated Annealing,False,False,64,0.0029990673065185547,7
8,Simulated Annealing,False,False,64,0.0019991397857666016,8
8,Simulated Annealing,False,False,64,0.0029976367950439453,7
8,Simulated Annealing,False,False,64,0.003998756408691406,8
8,Simulated Annealing,False,False,64,0.0029973983764648438,8
8,Simulated Annealing,False,False,64,0.002000093460083008,8
8,Simulated Annealing,False,False,64,0.0019979476928710938,6
8,Simulated Annealing,False,False,64,0.00299835205078125,7
8,Simulated Annealing,False,False,64,0.003998279571533203,8
8,Simulated Annealing,False,False,64,0.0039980411529541016,8
8,Simulated Annealing,False,False,64,0.003996849060058594,8
8,Simulated Annealing,False,False,64,0.00299835205078125,8
8,Simulated Annealing,False,False,64,0.003997325897216797,8
8,Simulated Annealing,False,False,64,0.0019989013671875,7
8,Simulated Annealing,False,False,64,0.0029981136322021484,8
10,Simulated Annealing,False,False,100,0.00799417495727539,10
10,Simulated Annealing,False,False,100,0.00499725341796875,10
10,Simulated Annealing,False,False,100,0.0059969425201416016,10
10,Simulated Annealing,False,False,100,0.005998134613037109,10
10,Simulated Annealing,False,False,100,0.006994009017944336,7
10,Simulated Annealing,False,False,100,0.005997180938720703,9
10,Simulated Annealing,False,False,100,0.007996082305908203,10
10,Simulated Annealing,False,False,100,0.005995988845825195,10
10,Simulated Annealing,False,False,100,0.005997419357299805,8
10,Simulated Annealing,False,False,100,0.0059969425201416016,9
10,Simulated Annealing,False,False,100,0.005997896194458008,7
10,Simulated Annealing,False,False,100,0.005995035171508789,9
10,Simulated Annealing,False,False,100,0.005997180938720703,10
10,Simulated Annealing,False,False,100,0.004996061325073242,9
10,Simulated Annealing,False,False,100,0.005995988845825195,5
10,Simulated Annealing,False,False,100,0.004997968673706055,10
10,Simulated Annealing,False,False,100,0.007995367050170898,9
10,Simulated Annealing,False,False,100,0.005995750427246094,10
10,Simulated Annealing,False,False,100,0.007996320724487305,9
10,Simulated Annealing,False,False,100,0.005995512008666992,10
10,Simulated Annealing,False,False,100,0.005997657775878906,10
10,Simulated Annealing,False,False,100,0.0059964656829833984,7
10,Simulated Annealing,False,False,100,0.00499725341796875,10
10,Simulated Annealing,False,False,100,0.0069959163665771484,8
10,Simulated Annealing,False,False,100,0.004996299743652344,9
10,Simulated Annealing,False,False,100,0.0059964656829833984,9
10,Simulated Annealing,False,False,100,0.005996227264404297,9
10,Simulated Annealing,False,False,100,0.0059967041015625,9
10,Simulated Annealing,False,False,100,0.0069959163665771484,8
10,Simulated Annealing,False,False,100,0.0069959163665771484,8
4,Genetic Algorithm,True,False,23,0.0219876766204834,0
4,Genetic Algorithm,True,False,0,0.0009987354278564453,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.00099945068359375,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0009996891021728516,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.00099945068359375,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0009989738464355469,0
4,Genetic Algorithm,True,False,0,0.0,0
4,Genetic Algorithm,True,False,0,0.0009999275207519531,0
