Escenario,Algoritmo,Alcanzo el resultado,Estados Explorados,Tiempo de Ejecucion,Alcanzo el limite,Costo del Camino
28,busqueda en profundidad limitada,N/A,108,0.005996227264404297,False,
29,busqueda en profundidad limitada,N/A,82,0.005995750427246094,False,
30,busqueda en profundidad limitada,N/A,94,0.005995512008666992,False,
1,busqueda costo Uniforme E1,True,6581,0.0659494400024414,False,65
2,busqueda costo Uniforme E1,True,9306,0.09422016143798828,False,119
3,busqueda costo Uniforme E1,True,2861,0.030997276306152344,False,56
4,busqueda costo Uniforme E1,True,1435,0.018037080764770508,False,29
5,busqueda costo Uniforme E1,True,2525,0.02799820899963379,False,36
6,busqueda costo Uniforme E1,True,6974,0.07101154327392578,False,109
7,busqueda costo Uniforme E1,True,526,0.010993719100952148,False,16
8,busqueda costo Uniforme E1,True,1478,0.017978668212890625,False,27
9,busqueda costo Uniforme E1,True,6948,0.07090568542480469,False,68
10,busqueda costo Uniforme E1,True,1828,0.023007869720458984,False,39
11,busqueda costo Uniforme E1,True,6498,0.06605195999145508,False,83
12,busqueda costo Uniforme E1,True,2784,0.0299835205078125,False,54
13,busqueda costo Uniforme E1,True,3067,0.032991886138916016,False,48
14,busqueda costo Uniforme E1,True,689,0.01199793815612793,False,23
15,busqueda costo Uniforme E1,True,7700,0.07704448699951172,False,93
16,busqueda costo Uniforme E1,True,9664,0.09708213806152344,False,114
17,busqueda costo Uniforme E1,True,1180,0.01698923110961914,False,24
18,busqueda costo Uniforme E1,True,697,0.010997533798217773,False,19
19,busqueda costo Uniforme E1,True,1764,0.020990371704101562,False,33
20,busqueda costo Uniforme E1,True,1323,0.016846418380737305,False,32
21,busqueda costo Uniforme E1,True,1423,0.018886804580688477,False,34
22,busqueda costo Uniforme E1,True,7876,0.08014082908630371,False,119
23,busqueda costo Uniforme E1,True,2004,0.02405524253845215,False,32
24,busqueda costo Uniforme E1,True,3819,0.03998851776123047,False,48
25,busqueda costo Uniforme E1,True,8151,0.08201479911804199,False,95
26,busqueda costo Uniforme E1,True,3173,0.034979820251464844,False,42
27,busqueda costo Uniforme E1,True,2542,0.02893686294555664,False,41
28,busqueda costo Uniforme E1,True,5439,0.05507040023803711,False,71
29,busqueda costo Uniforme E1,True,404,0.010006189346313477,False,14
30,busqueda costo Uniforme E1,True,2421,0.026994943618774414,False,48
1,busqueda costo Uniforme E2,True,2729,0.03298211097717285,False,77
2,busqueda costo Uniforme E2,True,8935,0.09505534172058105,False,202
3,busqueda costo Uniforme E2,True,2671,0.030977964401245117,False,182
4,busqueda costo Uniforme E2,True,1220,0.028983116149902344,False,50
5,busqueda costo Uniforme E2,True,1051,0.016813039779663086,False,46
6,busqueda costo Uniforme E2,True,6524,0.07084441184997559,False,366
7,busqueda costo Uniforme E2,True,1703,0.022373437881469727,False,58
8,busqueda costo Uniforme E2,True,4303,0.04907631874084473,False,99
9,busqueda costo Uniforme E2,True,8194,0.08593463897705078,False,240
10,busqueda costo Uniforme E2,True,1259,0.01898479461669922,False,91
11,busqueda costo Uniforme E2,True,8083,0.0849461555480957,False,213
12,busqueda costo Uniforme E2,True,4000,0.04497408866882324,False,165
13,busqueda costo Uniforme E2,True,3908,0.04297447204589844,False,120
14,busqueda costo Uniforme E2,True,608,0.011988639831542969,False,44
15,busqueda costo Uniforme E2,True,8474,0.09394526481628418,False,168
16,busqueda costo Uniforme E2,True,9403,0.09994244575500488,False,301
17,busqueda costo Uniforme E2,True,2576,0.030971527099609375,False,83
18,busqueda costo Uniforme E2,True,310,0.008995771408081055,False,25
19,busqueda costo Uniforme E2,True,1837,0.02298712730407715,False,102
20,busqueda costo Uniforme E2,True,1539,0.0199892520904541,False,93
21,busqueda costo Uniforme E2,True,947,0.013991594314575195,False,75
22,busqueda costo Uniforme E2,True,6939,0.07505202293395996,False,167
23,busqueda costo Uniforme E2,True,1666,0.021987199783325195,False,59
24,busqueda costo Uniforme E2,True,1713,0.021999359130859375,False,66
25,busqueda costo Uniforme E2,True,8339,0.09029197692871094,False,172
26,busqueda costo Uniforme E2,True,3144,0.03598332405090332,False,106
27,busqueda costo Uniforme E2,True,1344,0.018988847732543945,False,52
28,busqueda costo Uniforme E2,True,6199,0.06696534156799316,False,200
29,busqueda costo Uniforme E2,True,1319,0.018973588943481445,False,51
30,busqueda costo Uniforme E2,True,3034,0.03496956825256348,False,189
