N_Reinas,Algoritmo,Optima,truncado?,Explorados,Tiempo,reinas_atacandose
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0009918212890625,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
4,BackTracking,True,False,26,0.0,0
8,BackTracking,True,False,876,0.002009868621826172,0
8,BackTracking,True,False,876,0.002997875213623047,0
8,BackTracking,True,False,876,0.0030095577239990234,0
8,BackTracking,True,False,876,0.0010082721710205078,0
8,BackTracking,True,False,876,0.0019884109497070312,0
8,BackTracking,True,False,876,0.002998828887939453,0
8,BackTracking,True,False,876,0.002010345458984375,0
8,BackTracking,True,False,876,0.0009980201721191406,0
8,BackTracking,True,False,876,0.0009989738464355469,0
8,BackTracking,True,False,876,0.002997159957885742,0
8,BackTracking,True,False,876,0.0020089149475097656,0
8,BackTracking,True,False,876,0.0019991397857666016,0
8,BackTracking,True,False,876,0.0020084381103515625,0
8,BackTracking,True,False,876,0.0020020008087158203,0
